sentence_id,sentence,direction,modifier_category,tone_label,distance_cm,rater_id,x_m,y_m,amplitude,radius
s0001,Let's pull the grip forward-left a lot firmly for me.,forward_left,a_lot,harsh,20,rater_1,-0.1348244533366009,0.14577827308115351,60.0,0.17771087403247474
s0001,Let's pull the grip forward-left a lot firmly for me.,forward_left,a_lot,harsh,20,rater_2,-0.14529070927150256,0.13683153688448985,60.0,0.15516726824501592
s0001,Let's pull the grip forward-left a lot firmly for me.,forward_left,a_lot,harsh,20,rater_3,-0.1411192192542729,0.1404929171274928,60.0,0.1524303643280856
s0002,bring the grip to the left slightly gently now.,left,slightly,gentle,5,rater_1,-0.04584384778039274,-0.0007416776686460765,37.596488845831615,0.15690410553641804
s0002,bring the grip to the left slightly gently now.,left,slightly,gentle,5,rater_2,-0.051198280407888014,0.004141606260178093,34.227546388275556,0.12983937010008137
s0002,bring the grip to the left slightly gently now.,left,slightly,gentle,5,rater_3,-0.05246639867828582,0.0029407205023440804,35.643396733254235,0.1334769104554945
s0003,"Could you slide the handle backward slightly gently, please.",back,slightly,gentle,5,rater_1,0.000964602499702912,-0.05149382567438478,34.533087906557704,0.15333119290094738
s0003,"Could you slide the handle backward slightly gently, please.",back,slightly,gentle,5,rater_2,0.002957636514920513,-0.050683102894806306,34.08904619901142,0.14135645331266034
s0003,"Could you slide the handle backward slightly gently, please.",back,slightly,gentle,5,rater_3,-0.0008012693619631335,-0.050405581877223896,34.76094199134023,0.14308597313086874
s0004,Let's bring the handlebar forward for me.,forward,no_modifier,neutral,15,rater_1,0.009029407158190212,0.14488293382234282,53.583159236410566,0.17560761871386252
s0004,Let's bring the handlebar forward for me.,forward,no_modifier,neutral,15,rater_2,-0.009112010965757816,0.1526353269998902,51.11345161162711,0.14777930353137148
s0004,Let's bring the handlebar forward for me.,forward,no_modifier,neutral,15,rater_3,0.0023771550044079364,0.15233092823189348,51.32367081776896,0.15998566584639692
s0005,"I want the handle moved to the left a lot, please.",left,a_lot,neutral,20,rater_1,-0.1973430171478741,0.006401848930216485,60.0,0.19300394534828463
s0005,"I want the handle moved to the left a lot, please.",left,a_lot,neutral,20,rater_2,-0.20058046324321505,-0.00769729351350198,60.0,0.18209132495026628
s0005,"I want the handle moved to the left a lot, please.",left,a_lot,neutral,20,rater_3,-0.2021073732347097,0.0003665484055024599,60.0,0.17692820943483467
s0006,Could you nudge the grip forward-right a lot firmly now.,forward_right,a_lot,harsh,20,rater_1,0.14822441189403954,0.1334369291809102,60.0,0.17045528064647478
s0006,Could you nudge the grip forward-right a lot firmly now.,forward_right,a_lot,harsh,20,rater_2,0.13267382318843565,0.14982560098491832,60.0,0.14774448023274508
s0006,Could you nudge the grip forward-right a lot firmly now.,forward_right,a_lot,harsh,20,rater_3,0.14286343933513027,0.14918397720173543,60.0,0.15535203980122717
s0007,I want the handle moved forward a lot firmly now.,forward,a_lot,harsh,20,rater_1,0.009105608029137211,0.19897400202303386,60.0,0.17779394783202418
s0007,I want the handle moved forward a lot firmly now.,forward,a_lot,harsh,20,rater_2,-0.01207863804520729,0.20093607128532417,60.0,0.14742061750878718
s0007,I want the handle moved forward a lot firmly now.,forward,a_lot,harsh,20,rater_3,-0.00013276928452908739,0.20062147084065582,60.0,0.16437499282408385
s0008,"I want the handlebar moved backward, please.",back,no_modifier,neutral,15,rater_1,-0.0007031024069246077,-0.1514930239461621,51.8754616721032,0.17933179034444577
s0008,"I want the handlebar moved backward, please.",back,no_modifier,neutral,15,rater_2,0.005174980211490441,-0.14703589741310988,49.16553118217741,0.15498543394681286
s0008,"I want the handlebar moved backward, please.",back,no_modifier,neutral,15,rater_3,0.004820553708165675,-0.14949195675434704,54.096380308407014,0.15605489639381268
s0009,Please nudge the grip forward and to the left moderately now.,forward_left,moderately,neutral,10,rater_1,-0.06482994410546541,0.0698332572040097,45.6553917543392,0.1529203592747143
s0009,Please nudge the grip forward and to the left moderately now.,forward_left,moderately,neutral,10,rater_2,-0.076813145906917,0.06739116004861699,43.07483776576395,0.1275162777170363
s0009,Please nudge the grip forward and to the left moderately now.,forward_left,moderately,neutral,10,rater_3,-0.0726219181396188,0.07204538118373689,43.50319661202673,0.14190302576444933
s0010,I want the grip moved backward moderately firmly for me.,back,moderately,harsh,10,rater_1,-0.004126792511568117,-0.1018276983151237,50.09703942607321,0.1210809146736662
s0010,I want the grip moved backward moderately firmly for me.,back,moderately,harsh,10,rater_2,0.0016360770065276262,-0.09472608171449741,47.54063741505113,0.1070342081156128
s0010,I want the grip moved backward moderately firmly for me.,back,moderately,harsh,10,rater_3,-0.00021177339810197733,-0.0994121012498453,48.18504551122301,0.12490383311418649
s0011,"Please shift the grip backward a lot firmly, please.",back,a_lot,harsh,20,rater_1,-0.00369238777973126,-0.20006782233746187,60.0,0.17041243660826227
